nk	sk
너는 절대로 수당을 받지 않을거야!	너는 참수당하지 않을 거야!
그중 일부는 조롱을 받으면서도 끝내 거기까지 발을 들여놓았다.	그 중 일부는 비웃음을 받으면서도 결국 그곳에 들어갔다.
제르비노는 내가 잠든 다음에야 몰래 나가버렸고 덜시도 그를 따라나섰다.	제르비노는 내가 잠든 후에야 몰래 나가고, 덜시도 그를 따라 나갔다.
쥴리앙은 마차들이 언덕을 힘겹게 올라가는것을 지난번에 보았던 일이 생각났다.	그는 짐마차들이 언덕을 힘겹게 올라가는 모습을 나가는 동안 보았던 것을 기억했다.
그 녀자는 미티야의 글씨로 된 문서를 손에 들고있었다. 그 문서는 그가 삐오도르 파블로비치를 살해하였다는것을 확증해주고있었다.	그녀는 미티야의 글씨로 된 문서를 손에 들고 있으며, 그 문서는 그가 피오도르 파블로비치를 살해했다는 것을 명백히 증명하고 있다.
류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리 류달리	일반적인 사건의 흐름은 먼저 나에 대해 아무것도 생각하지 않다가, 내 발소리를 듣고 고개를 들어 나를 보고, 내가 거기에 무슨 일로 왔는지 궁금해하는 것이었으나, 내 시계의 작동에 의해 뒤바뀔 것이다.
어디로 가실가요?	갈까요?
바다의 끝에서 나는 격렬한 파도의 밑바닥에 떨어질줄로만 알았는데 거기서는 모든 고통이 순식간에 끝날줄로만 알았다.	해협의 끝에서 나는 우리가 격렬한 파도의 바닥으로 떨어질 것임을 확신했으며, 그곳에서 모든 고통이 신속하게 끝날 것이라고 생각했다.
포로를 잡는것은 그들이 잡는데 동의할 때만이 가능하며 제비가 손에 닿을 때에만 잡을수 있는것과 같다.	포로를 잡는 것은 그들이 잡히는 데 동의할 때만 가능하며, 마치 제비가 손에 앉을 때만 잡을 수 있는 것과 같다.
말해줘, 그렇게 말해줘, 그러면 내가 할테니까.	말해줘, 그렇게 해라고, 그러면 내가 할게.
그는 다시 일어서서 가려고 하였다.	그리고 다시 일어나서 가려고 했다.
그러나 그가 그쪽으로 걸어가는것을 보고 그가 가야 할 길이 무엇인가 하는것을 알고있노라니 얼음으로 된 능선앞에 앉아있는 한 녀성의 모습이 눈에 띄였다. 그 녀성은 손을 무릎에 얹고 몸을 앞으로 내밀고 머리카락은 땅에 닿았다.	그러나 그가 그것을 향해 걸어가며 바라보면서 그것이 그가 가야 할 길인지 궁금해하자, 그가 보기에 틈처럼 보였던 것은 얼음으로 된 능선 앞에 앉아 있는 여성의 모습이었고, 그녀는 손을 무릎에 얹고 앞으로 몸을 기울이며 머리카락이 땅에 닿아 있었다.
그 녀자는 도망쳐서 집시들에게 가버리고 톰은 더는 그 녀자를 볼수 없게 되리라.	그녀는 도망쳐서 집시들에게 가버릴 것이고, 톰은 더 이상 그녀를 볼 수 없을 것이다.
그 녀자는 어둠속에서 몇번이나 그들에게 팔을 뻗쳤고 피곤에 지친 나머지 흐느끼면서 잠이 들었다.	그녀는 어둠 속에서 그들을 향해 여러 번 팔을 뻗었고, 그리고 피곤에 지쳐 흐느끼며 잠이 들었다.
나는 그의 머리와 수염에 피투성이가 된것을 보았고 거리모퉁이에서 녀인들이 모여들어 그의 심장을 찢어버리겠다고 웨치는 소리를 들었다.	나는 그의 머리와 수염에 피가 묻어 있는 것을 볼 수 있고, 거리 모퉁이에서 여성들이 군중의 중심으로 들어가며 그들의 심장을 찢어 놓겠다고 외치는 소리를 들을 수 있다.
려관에 들어서자 보바리부인은 마차가 오지 않는것을 보고 깜짝 놀랐다.	여관에 도착하자 보바리 부인은 마차가 보이지 않아 놀랐다.
그는 점점 더 짜증이 나서 최근에 배운 례의범절을 잊어버리고있었다.	그는 점점 더 짜증이 나고 있었고, 최근에 배운 예의범절을 잊어가고 있었다.
이윽고 그들은 물가옆의 아름다운 산책로에 들어섰다. 거기에는 한결 더 고요한 경치들이 눈에 띄였다. 그러나 엘리자베스는 이 경치들가운데서 어떤것을 느낄것인가 하는것조차도 잊어버리고있었다.	그들은 이제 물가 옆의 아름다운 산책로에 들어섰고, 매 걸음마다 더 고귀한 경사지나 그들이 다가가고 있는 숲의 더 멋진 부분이 드러나고 있었지만, 엘리자베스는 그 중 어떤 것도 느끼기까지는 시간이 걸렸다.
실버는 이미 피로로 죽을 지경에까지 이르렀지만 다른 사람들과 마찬가지로 노를 젓기 시작하여 물결치는 바다우를 쏜살같이 내달렸다.	실버는 이미 피로로 거의 죽을 지경이었지만, 우리 나머지와 마찬가지로 노를 잡게 되었고, 우리는 곧 매끄러운 바다 위를 빠르게 가로질렀다.
그렇게 대답할수는 없다.	그렇게 대답할 수는 없다.
내가 너에게 내 말을 한다면 그것은 내가 성서에 손을 얹는것처럼 너에게 강한 유산이 될것이다.	내가 너에게 내 말을 한다면, 그것은 내가 성경에 손을 얹는 것만큼이나 나에게 강한 유대가 될 것이다.
누구도 당신이 그런 사람이라고는 하지 않았지만 젊고 미인이 많은 가극극장에 나타났던것이다.	아무도 당신이 그런 사람이라고 말해주지 않았지만, 당신은 자주 젊고 아름다운 여성과 함께 오페라에서 목격되었다.
그는 포유류였기때문에 어머니였다.	그녀는 포유류이기 때문에 어머니였다.
그 녀자에게 일어날 모든 일은 이미 예견되여있었던것이다.	그녀에게 일어날 모든 일이 이미 일어났다.
동포를 만나게 되여 기쁩니다.	동포를 만나게 되어 기쁩니다.
왜냐 하면 이 세명의 남녀가 한자리에 모이는데서 세속적인 얼음이 녹아들어 환대와 관대함의 넘쳐흐르는 강으로 통하는 길을 열어놓았기때문이다.	왜냐하면 보행자 공동체의 한 계층에게는 세 여성의 마음에 대한 공식적인 얼음이 녹아들어, 환대와 관대함의 넘치는 강으로 통하는 길을 열어주었기 때문이다.
그 아래쪽 땅은 큰 돌들로 둘러싸여있었다.	그 아래의 땅은 큰 돌들로 포장되어 있었다.
그 녀자는 그뒤에 서서 자그마한 주머니에 손을 넣고 입을 벌리다가 안해가 속아넘어갈가봐 껄껄 웃었다.	그때 그녀의 남편은 그녀 뒤에 서서 주머니에 손을 넣고 다리를 벌린 채로 아내가 속아 넘어갈 가능성에 대해 부부의 기쁨으로 윙크하며 미소를 지었다.
나는 그가 순찰에서 빠져나오는것을 몇번이고 보았고 창문틈으로 낡은 방을 들여다보기도 하였으며 메리와 그의 아버지가 늦게까지 앉아있는것을 보기도 하였다.	경찰이 순찰을 벗어나는 모습을 여러 번 지켜보았고, 창문 덮개의 틈으로 오래된 방을 엿보았으며, 가끔은 메리나 그녀의 아버지가 어떤 이유로 늦게까지 앉아 있는 모습을 보기도 했다.
그의 입에서 튀여나오는 우사르의 말소리에도 귀를 기울이고있었다.	그의 말과 그 근처의 우사르의 말이 이러한 외침에 귀를 쫑긋 세웠다.
그건 결코 평범에서 벗어날수 있는 방법이 아니야.	그건 평범함에서 벗어나는 방법이 아니야, 친구.
그러면 그 녀자는 기분이 좋아질것이다. 리별할 때 울지 않고 그후에도 울지 않을것이다.	그렇다면 폴리는 기분이 좋을 것이다: 이별할 때 울지 않고, 그 후에도 걱정하지 않을 것이다.
그리고 그 녀자도 그것을 알고있었지만 나에 대해서는 한마디도 입밖에 내지 않았고 또 그렇게 할 의향도 없었다.	그리고 그녀도 그것을 알고 있었지만, 나는 결코 직접적인 설명을 하지 않았고 그렇게 할 의도도 없었다.
만일 누가 도난당했다고 주장한다면 그 물건은 제시되고 또 의심의 여지없이 증명되여야 한다.	무언가가 도난당했다고 주장된다면, 그 물건은 제시되어야 하거나 최소한 그 존재가 의심의 여지 없이 입증되어야 한다.
하루는 스물네시간으로 갈라지고 나머지 시간은 60분으로 갈라진다. 또 60초로 갈라진다.	하루는 스물네 시간으로 나뉘고, 각 시간은 육십 분으로 나뉘며, 매 분은 다시 육십 초로 나뉘지 않는가?
마틸드는 그의 입술을 바라고있었다.	그녀는 그의 입술을 갈망했다.
조용히!	조용히 해, 시민 스파이!
녀인들은 문어귀에 모여앉아있었다. 어떤 녀인들은 계단에 앉아있었고 다른 녀인들은 인도에 앉아있었으며 다른 녀인들은 거기에 서서 이야기하고있었다.	여성들이 문 주위를 에워싸고 있었고, 어떤 이들은 계단에 앉아 있었으며, 다른 이들은 인도에 앉아 있었고, 또 다른 이들은 서서 이야기하고 있었다.
그렇게 사랑받고있어!	그렇게 사랑받고 있는 거야!
나는 잠시동안 잘못 생각한것 같기도 했다.	나는 잠시 동안 잘못된 위치에 놓인 것 같은 기분이 들었다.
그곁에 있는 의자에 젊은 마스톤이 앉아있었는데 그 애는 지난날 딕 바틀리가 자기의 낡은 권총을 빌려준 일이 있었다.	그녀 가까이에 있는 의자에 젊은 마스턴이 앉아 있었는데, 그 소년은 사격 대회 날 딕 바틀리가 자신의 오래된 소총을 준 아이였다.
쥴리앙이 말한것은 요정들이였다.	그가 말한 것은 요정들이었다.
나의 사랑하는 로디온 로마노비야에게 나에 대해서 한마디 더 이야기해야겠는데 포르피리 페트로비치는 계속 방안을 돌아다니면서 그의 시선을 피하고있었다.	내 사랑 로디온 로마노비치에게 나에 대한 한 가지를 말해야 해, 포르피리 페트로비치가 계속해서 방을 돌아다니며 그의 방문자의 시선을 피했다.
만일 그이가 너의 벗이라면. 하고 다른 사람이 말하였다.	"오!
그가 네 친구라면, 다른 사람이 말했다."
그는 자기 방으로 들어왔을 때 그 녀자에게 사과하였는지 기억할수는 없었으나 안전하다고 결심하고 의자에 걸터앉자 곧 형식적인 사과뿐이였다.	그가 방에 들어올 때 자신의 침입에 대해 그녀에게 사과했는지 기억할 수는 없었지만, 안전한 쪽으로 가기로 결심하고 의자에 앉은 후 가능한 한 빨리 형식적으로 사과를 했다.
삼촌은 그 녀자를 바라보면서 눈을 가늘게 뜨고 미소를 지어보였다.	삼촌은 그녀를 바라보며 눈을 가늘게 뜨고 미소 지었다.
사라는 무엇을 하고있어요? 하고 패니가 조바심이 나서 물었다.	사라는 무엇을 했다고?라고 패니가 조급한 호기심으로 말했다.
오래동안 당신 얼굴을 한번도 보지 못하였는데 이렇게 가까이 오다니!	오랫동안 당신을 보지도 듣지도 못한 후에, 이렇게 당신을 여기서 만나게 되다니!
그것은 그의 손에 어머니의 대리인이 살아있는 무덤이였다.	그것은 그의 손에 세상에서 어머니의 대리인의 살아있는 무덤이었다.
그들이 오래동안 해보고싶어하는것, 어리석은짓을 할수 있게 될 그날을 얼마나 초조하게 기다리고있을가!	그들이 오랫동안 하고 싶었던 일, 종종 매우 어리석은 일들을 할 수 있는 이 날을 얼마나 초조하게 기다리는지.
열일곱이나 열여덟살쯤 되여보이는 작은 금발머리카락이 문앞에 나타났다. 그 머리는 흰 리본이 달린 짧은 흰옷을 입고있었다.	문 앞에 열일곱이나 열여덟 살의 짧은 머리를 가진 작은 금발 소녀가 나타났고, 그녀는 가슴에 흰 리본이 달린 짧은 파란 드레스를 입고 있었다.
그러나 포르피리가 니콜라이의 출현과 그후의 그들의 사이에 있은 모든 사건을, 그것도 단 하나의 대면면담때문에 니콜라이가 유죄판결을 받은 지금이라도 그대로 믿고있으리라고 생각하는가?	하지만 포르피리가 니콜라이의 등장 이전에 그들 사이에 있었던 일들, 그리고 오직 하나의 설명만이 가능한 그 일대일 면담 이후에 니콜라이가 유죄라고 한 순간이라도 믿을 것이라고 생각하다니?
그는 아기를 낳아도 받아들이지 않을것이다.	그가 제시한 이유는 아기조차도 받아들이지 않았을 것이다.
아니, 나는 그 화재이야기를 읽고있지 않아.	아니, 나는 화재에 대한 이야기를 읽고 있지 않아.
우리는 래일 돌아간다.	그러니까 우리는 내일 돌아갈 것이다.
그 불구덩이에는 송어가 가득차있었고 거기에는 비둘기의 나무들이 있었으며 산의 열린쪽 너머에는 물총새가 휘파람을 불며 뻐꾸기를 낳고있었다.	그 불구덩이는 송어로 가득 차 있었고, 그곳에는 비둘기의 나무가 있었으며, 산의 열린 쪽 너머에서는 항상 물총새가 휘파람을 불고, 뻐꾸기가 풍부하게 있었다.
자메토프는 왜 차를 마시지 않느냐고 하면서 추워하고있었다.	"왜 차를 마시지 않니?
추워지고 있어, 자메토프가 말했다."
하고 그가 말하였다.	말해 줘, 그가 말했다.
용서해주세요, 니콜라이씨, 저는 당신의 집에 갈수 없어요.	용서해 주세요, 니콜라이 세르게이치, 하지만 저는 당신의 집에 머물 수 없습니다.
사실 나는 기운이 없고 정신이 혼미해져있었다. 그의 얼굴은 피묻은 흔적도 없이 흙탕투성이가 되여있었고 그를 바라보는것만 해도 속이 메스꺼워졌다.	사실 나는 매우 기운이 없고 기운이 빠져 있었고, 그의 얼굴은 피가 묻지 않은 부분은 모두 흙처럼 하얗고, 그 모습을 바라보는 것만으로도 속이 메스꺼워졌다.
오랜 세월에 걸친 다락방의 고요가 그의 마음을 사로잡고 그의 가슴은 들떠있었으며 그의 가슴은 모든 폭풍의 소용돌이에 뒤떨어졌던 그때, 인생이라는 폭풍이 인류를 덮치는 휴식과 침묵을 요구하는 그무렵에 그들은 아버지와 딸을 땅에서 데려내오려고 나왔다.	오랜 시간 동안 다락방의 고요가 방해받지 않고, 그의 가슴은 가라앉고 흔들리는 모습이 모든 폭풍 뒤에 반드시 따르는 고요에 오래도록 순응했을 때, 즉 인생이라는 폭풍이 결국 잠잠해져야 하는 휴식과 침묵을 인류에게 상징하는 그때, 그들은 아버지와 딸을 땅에서 일으키기 위해 앞으로 나왔다.
무슨 일이야?	무슨 일이야?
해리톤의 두개골을 몽땅 까부시여버렸더라면 우리는 그의 구원을 목격하고 곧 나의 귀여운 아기를 가슴에 안고 아래층으로 내려갔을것이다.	어둡기만 했더라면, 그는 아마도 계단에서 해리턴의 두개골을 부수어 실수를 바로잡으려 했을 것이다; 그러나 우리는 그의 구원을 목격했으며, 나는 곧 내 소중한 아이를 가슴에 안고 아래에 있었다.
그렇게 오래 앉아있지 말고 지금처럼 집에 있지 말라고 전해주시오.	그녀에게 그렇게 많이 앉아 있지 말고, 지금처럼 집에 계속 있지 말라고 전해라.
맹인처럼 빛을 사랑하지 않는 사람은 없다.	맹인처럼 빛을 사랑하는 사람은 없다.
그 녀자는 개와도 같았다. 그들의 신을 베개삼아 베개삼아 더 잘 자랐다.	그녀는 마치 개와 같아서, 그들의 신발을 베개 삼아 더 잘 잘 것이다.
그러나 지구의 마지막에서 마지막말을 듣게 될것이라는 약속, 이것이 그의 마지막 선물이 될것이라는 약속은 알료샤의 령혼에 황홀한 감흥을 불러일으켰다.	하지만 그가 지구에서 마지막으로 한 마디를 듣게 될 것이라는 약속, 그것이 그에게 주는 마지막 선물이 될 것이라는 약속은 알료샤의 영혼에 황홀함의 전율을 불러일으켰다.
아니, 그렇지도 않아.	아니, 물론 그렇지 않아.
모든것이 갑판에서 쓸려가고 단 하나의 작은 배만이 남아있었다.	모든 것이 갑판에서 쓸려 나갔고, 단 하나의 작은 배만 남아 있었다.
어느날 나는 룩셈부르크에서 한 젊은이를 때려눕히고싶은 생각이 굴뚝같았다.	어느 날 룩셈부르크에서 나는 한 노련한 사람을 끝내 부수고 싶다는 마음이 굴뚝같았다!
그리고 만일 그 한낱 독신자가 외국에서 온 낯선 벗과 함께 지내고 돌아올 때엔 판사들에게 소개받고싶어하지 않는다고 말하였다.	특히, 그 독점적인 젊은이가 외국에서 예상보다 빨리 도착한 친구와 함께 지내고 있고, 돌아올 때 판사들에게 소개받고 싶어하지 않을 만큼 수줍어한다면, 케그스 씨가 덧붙였다.
까스따바소프와 세르게이 이바노비치가 역에서 데려온 마차를 타고 포크로프스코예집의 계단에 다달았을 때 레빈은 보이지 않았다. 그들은 먼지때문에 모리처럼 까맣게 보였다.	레빈은 카타바소프와 세르게이 이바노비치가 역에서 고용한 마차를 타고 포크로프스코예 집의 계단에 도착했을 때 집에 없었으며, 그들은 도로의 먼지로 인해 모리처럼 검은색이었다.
그는 가엾고 비뚤어진 고모와도 같았다.	그는 가엾고 비뚤어진 존재이며, 고모를 닮았다.
너는 그것에 지쳤구나!	너는 그것에 지쳤구나!
그리고나서 나는 그 약한자가 어떻게 와더링 하이츠에서 살수 있겠는가 하는것을 생각해보았다.	그리고 나서 나는 생각했다, 그 약한 자가 어떻게 와더링 하이츠에서 살 수 있을까?
륙지에 있는 호른반도에 다달았을 때 날씨는 몹시 추웠고 폭우는 몹시도 세차게 불어댔다. 그래서 선원들은 륙지에 불어닥친 폭풍과 위험에 대해서 이야기를 하기 시작하였다.	우리가 아메리카의 최남단인 호른 곶에 접근했을 때, 날씨는 매우 추워지고 폭풍우가 몰아쳤으며, 선원들은 그 끔찍한 곶의 맹렬한 강풍과 위험에 대한 이야기를 하기 시작했다.
리지, 너는 사랑에 빠지지 말라는 경고를 받았지만 나는 사랑에 빠질만큼 어리석은 애는 아니야.	리지, 너는 사랑에 빠지지 말라는 경고를 받았다고 해서 단순히 사랑에 빠질 만큼 어리석은 소녀가 아니야.
나는 저도 모르게 큰소리로 부르짖었고 로렌스도 약간 비꼬는듯한 눈초리로 나를 흘겨보았다.	나는 저도 모르게 외치고 말았고, 로렌스는 다소 비난하는 듯한 눈빛으로 나를 쳐다보았다.
두사람사이에 서있는 사나운 사나이의 나지막한 중얼거림도 들리지 않았다.	사이에 있는 남자의 불분명한 중얼거림이 들렸다.
딤믈러가 목소리를 낮추어 니콜라스, 쏘냐를 보며 말하였다.	딤믈러가 화음을 치고 나타샤, 니콜라스, 소냐를 바라보며 말했다.
그것은 마치도 하늘에서 천둥소리와도 같이 갑자기 일어났기때문이였다. 나는 모두 깜짝 놀라서 어찌할바를 몰랐다.	그 일은 또한 맑은 하늘에서 천둥처럼 갑자기 일어났기 때문에 나는 모두 놀라서 어찌할 바를 몰랐다.
내가 바라는것보다 그가 더 요구한다는것을 모르고있다면 나보다 더 훌륭한 남편을 남편으로 삼을수 있을가?	어떻게 내가 그를 필요로 하는 것보다 그가 나를 덜 필요로 한다는 것을 모른 채 나보다 훨씬 더 뛰어난 남편을 가질 수 있을까?
나는 그것이 정말이라는것을 의심할수 없다.	나는 그것이 정말로 그렇다는 데 의심의 여지가 없다.
그리고 나머지 한송이의 꽃잎은 성경책에 있는 내 성서의 한페지속에 간직되여있다. 나는 그것을 언제까지나 간직할 작정이다.	그리고 나머지 한 송이의 꽃잎은 내 성경의 페이지 사이에 눌러 두었는데, 나는 그것들을 여전히 가지고 있으며 항상 간직할 생각이다.
어제 경마장에서 내가 바라고 소원하는것은 당신에게 가는것이였는데 당신은 이미 가버렸소.	어제 경마장에서 내가 원했던 것은 당신에게 가는 것이었지만, 당신은 떠나버렸다.
너의 얼굴이 변했단말이지?	네 얼굴이 많이 변했다는 것을 알고 있니?
그 녀자는 장갑, 낡은 장갑, 낡은 모자, 낡은 장삼 등을 팔기 시작했다. 그 녀자는 농민출신의 혈통을 이어받아 탐욕스럽게 흥정을 부렸다.	돈을 얻기 위해 그녀는 오래된 장갑, 오래된 모자, 오래된 잡동사니를 팔기 시작했고, 그녀의 농민 혈통이 도움이 되어 그녀는 탐욕스럽게 흥정을 했다.
마틸드는 한숨을 내쉬였다.	그녀는 한숨을 쉬었다.
그들은 평소와 다름없이 이야기하고있었는데 딕이 개의 마음에서 많은 지식을 끌어냈고 그속에 풍부한 지혜를 불어넣어주었기때문에 딕은 개가 하는 말을 잘 알아들을수 있었던것이다.	그들은 평소처럼 대화하고 있었는데, 딕이 개의 마음에서 방대한 지식을 끌어내고 그 안에 풍부한 지혜를 주입했기 때문에 개가 그가 하는 모든 말을 이해하고 있다고 확신했다.
벽과 같은 모양으로 잘려나간 느릅나무판자들이 규칙적으로 배열되여있었고 희미한 빛속에서 어깨에 손을 쥘만한 큰 유령처럼 보였다.	벽을 따라 같은 모양으로 잘린 느릅나무 판자들이 규칙적으로 배열되어 있었고, 희미한 빛 속에서 마치 주머니에 손을 넣고 있는 어깨가 넓은 유령처럼 보였다.
들어오세요. 하고 라에프셔가 말하였다.	들어오세요, 라에프스키가 말했다.
남자들은 죄다 악명높고 나는 그들을 혐오하는것보다 더한 멸시를 받을수 있다는것을 알게 되니 나는 기뻤다.	남자들은 모두 악명 높고, 나는 이제 그들을 혐오하는 것 이상으로 그들을 경멸할 수 있게 되어 기쁘다.
아니, 나는 그런것을 꿈꾸지 않았어.	아니, 나는 그것을 꿈꾸지 않았어.
그 녀자는 두통과 메스꺼움으로 하루도 빠짐없이 고통을 겪어왔다.	그녀는 두통과 메스꺼움으로 고통받았고, 아침 내내 일어날 수 없었다.
이렇게 행복하게 집안일을 처리하고 여유가 있는 날에는 언제든지 더 많은것을 찾으러 나설 용기가 나는것 같았다.	그가 이렇게 행복하게 집에서 모든 것을 정리하고, 여유 있는 날이면 언제든지 더 많은 것을 찾으러 나설 준비가 되어 있는 모습을 보니 마음이 뿌듯하다.
나는 불에 타며 오막살이 가장 어두운곳을 환히 비쳤다. 그러나 그자리에는 프리티하트가 보이지 않았다.	내가 불에 던진 가지들이 타오르며 오두막의 가장 어두운 구석을 밝혔지만, 프리티하트는 어디에도 보이지 않았다.
아니, 너는 안하겠어!	뭐, 너는 안 할 거야!
하느님께서 아시는바와 같이 네가 원한다면 언제든지 환영이야.	신이 아는 바와 같이, 그건 네가 원한다면 언제든지 환영이야.
너에게는 다행이야. 하고 나타샤는 빙그레 웃으면서 말하였다.	너에게는 다 괜찮겠지, 나타샤가 반응하는 미소를 지으며 말했다.
그것은 바로 그 순간에 죄수가 다시 감옥에 갇히게 된것이였다. 의사였던 그는 그때 자기의 사위가 살인적인 고함소리와 불명예스러운 울음소리로 주위사람들의 주의를 상하게 하지 말아달라고 간청하였기때문이였다. 그는 그 부탁을 받고서 위험의 씨앗이 될수 있는 사나이가 될 때까지 그 피의 전당에 남아있었다.	그것은 즉시 신호에 따라 죄수가 다시 감옥 안으로 옮겨졌다는 것이었지만, 의사인 그는 그 당시 자신의 사위가 악의나 불행으로 인해 바깥에서 살인적인 외침이 종종 절차를 덮어버린 군중에게 넘겨지지 않도록 남아있고 확인할 수 있는 허락을 강력히 요청했기 때문에 허락을 받았고, 위험이 사라질 때까지 그 피의 전당에 남아 있었다.
내가 지금 쓰고있는 이 순간에 당신이 문안으로 들어오신다면 내가 앤드류를 다시 만난것을 자랑으로 여기고있다는것을 알수 있을거예요.	아, 내가 글을 쓰고 있는 이 순간에 당신이 문으로 들어온다면, 내가 다시 앤드류를 가지게 된 것에 대해 자랑스러워하는지 아닌지를 알 수 있을 것입니다.
우리는 우리의 령토를 되찾을것이다.	그리고 우리는 우리의 자본을 되찾을 것이다.
그런곳에서 졸았다고 해서 당신에게 감사를 드리는 사람은 없을거요.	아무도 그런 소굴에서 졸았다고 당신에게 감사하지 않을 것이다!
안나 미하일로브나의 노력과 그의 취미와 그리고 그의 내성적인 성격 덕분으로 보리스는 복무하는동안 한결 더 유리한 처지에 놓이게 되였다.	안나 미하일로브나의 노력과 그의 취향, 그리고 그의 내성적인 성격 덕분에 보리스는 복무하는 동안 매우 유리한 위치에 자신을 놓을 수 있었다.
발밑에서 수리부엉이가 날아올랐다.	발밑에서 한 수리부엉이가 날아올랐다.
나는 그것이 기뻤다.	나는 그것이 몹시 기쁘다.
그들은 잠시 침묵을 지켰다.	그들은 잠시 다시 침묵했다.
일반 대중은 자기를 숭배하고 저속한 대중을 칭찬하는 오랜 나르시스이다.	일반 대중은 자신을 숭배하며 저속한 대중을 칭찬하는 오래된 나르시스다.
이상하게도 나는 극도의 즐거움을 느꼈고 스틸과 메조틴트판의 기막히게 맵짠 중국식복제물을 만들어낼수 있었다.	이상하게도 나는 그 노동에서 극도의 즐거움을 느꼈고, 심지어 스틸이나 메조틴트 판의 기묘하게 세밀한 중국식 복제품도 만들어낼 수 있었으며,
당신은 인생의 해빛속에서 그림자처럼 사라져가는것을 잘 알고있소.	당신은 인생의 햇빛 속에서 그림자처럼 지나치는 것에 잘 익숙해져 있다.
매기의 눈은 반짝이고 그의 뺨은 붉어졌다.	매기의 눈은 반짝이기 시작했고 그녀의 뺨은 붉어졌다.
그 녀자는 웃음을 띠고있었으나 얼굴은 남자로 보였다.	그녀는 웃음을 띤 듯하지만 남성적인 존재였다.
비탈리스는 매우 정중하게 대해주었다.	비탈리스는 매우 공손했다.
프레드릭은 계속 말하였다.	프레드릭은 계속해서 말했다.
그것이 원한다고 해서 되돌려줄수 없는것을 빼앗을수는 없는것이다.	그것이 원한다고 해도 되돌려줄 수 없는 것을 빼앗을 권리는 없다.
노르티에씨?	노르티에 씨?
나는 그를 그렇게 오래동안은 몰랐지만 당신과 어머니를 제외하고는 다른 어느 누구보다도 그를 잘 알고있다.	나는 그를 사실 그렇게 오래 알지 못하지만, 당신과 어머니를 제외하고는 세상의 어떤 다른 존재보다 그를 훨씬 더 잘 알고 있다.
다음 편지에서 프레드릭은 앞날에 대하여 너무나 기뻐서 과거에 대한 생각조차 하지 않고있었다. 마가렛은 마가렛을 위해서 그가 바라고있는 인내심을 그에게서 느꼈다.	다음 편지에서 프레드릭은 미래에 대해 너무 기쁘게 이야기하여 과거에 대한 생각이 전혀 없었고, 마가렛은 그를 위해 갈망하던 인내심을 자신의 안에서 발견했다.
그리고 이곳이 공공장소인만큼 내가 너의 얼굴앞에서 문을 닫아걸게.	그리고 이곳이 공공장소인 만큼, 내가 너의 얼굴 앞에서 문을 닫을게.
어느날 나는 나터의 명세에 따라 그가 리볼버스에 있는 여섯개의 총신에 자그마한 마개마개를 꽂아놓았다는것을 알게 되였다.	어느 날 나는 나터 리스트가 그의 리볼버에 있는 여섯 개의 총신에 작은 코르크 마개를 꽂아 놓았다는 것을 알아차렸다.
이 두가지 성분은 같은 비율로 혼합되여 알약으로 된다.	이 두 가지 성분은 같은 비율로 혼합되어 알약으로 만들어진다.
그들은 대답하였다. 앙졸라스는 대답하였다.	그들은 대답했다, 앙졸라스가 말했다.
그는 경멸하는 버나드이며 기회주의자이다. 하느님을 믿지 않는다.	그는 경멸스러운 버나드이자 기회주의자이며, 하나님을 믿지 않는다.
페어팩스부인이 말하였다.	페린이 말했다.
악마는 모푸를 얻으려고 애썼다.	악마는 모푸를 얻으려고 했다.
당신의 모든 욕망을 명령으로 여기시오?	당신의 모든 욕망을 명령으로 간주해야 할까요?
그들은 함께 놀았다. 그는 나이 많은 처녀였다. 그 처녀는 자기자신도 진정으로 사소한것에 마음이 끌리여 자기가 그 녀자보다 낫다고 믿고있었던것이다.	그들은 함께 놀았고, 그는 나이 많은 아이의 거만함으로, 그녀는 자신도 모르게 진지하게 그가 중요한 사소한 것들에 그녀만큼 기뻐한다고 믿으며 놀았던 때였다;
나를 다시 생기와 기쁨으로 인도하여주세요!	나를 다시 삶과 선함으로 불러줘!
그래 그는 당신이 원하는 사람이요.	그래서 그 사람이 당신이 원하는 사람이라는 거군요.
그 반쪽을 떼여넣은 까닭은 무엇인가?	그 반쪽을 따로 떼어 놓은 이유는 무엇인가요?
당신이 나를 존경해주신다면 그 혜택은 더 커지오.	당신이 나를 존경해 주실 그 혜택은 상호적일 것입니다.
나는 그런것을 전혀 모르거던, 앨리스는 정색하고 말하였다.	나는 그런 것에 대해 아는 게 없어, 앨리스가 매우 공손하게 말했다.
그러나 그의 오랜 고뇌의 산물인 선반에서 가끔씩 단어들이 떨어져 미스 성 죤의 가슴속에 씨앗처럼 뿌리를 박고 깊은 사색에 잠기게 되였다.	그러나 그의 오래된 어려움이 놓여 있는 선반에서 가끔씩 단어들이 떨어져 미스 세인트 존의 마음에 씨앗처럼 떨어지고, 뿌리를 내리며 생각으로 자라났다.
너는 그렇게 생각했니?	너는 그렇게 생각했니?
그 녀자의 눈에서는 눈물이 줄지어 흐르고있었다.	그녀의 눈에 눈물이 고였다.
